run,duration_s,runtime_s,cycles_core0,cycles_core1,sim_speed_mips,realtime_ratio
1,0.004693,94.4778,,,0.0,20131.64
2,0.004693,131.7058,,,0.0,28064.31
3,0.004693,83.7029,,,0.1,17835.7
4,0.004693,133.8581,,,0.0,28522.92
5,0.004693,101.3363,,,0.0,21593.08
6,0.004693,86.4676,,,0.1,18424.8
7,0.004693,134.9263,,,0.0,28750.55
8,0.004693,118.3162,,,0.0,25211.2
9,0.004693,85.5403,,,0.1,18227.21
10,0.004693,115.6211,,,0.0,24636.93
11,0.004693,99.828,,,0.0,21271.68
12,0.004693,87.4986,,,0.1,18644.49
13,0.004693,59.4045,,,0.1,12658.1
14,0.004693,132.0915,,,0.0,28146.49
15,0.004693,89.5222,,,0.1,19075.68
16,0.004693,85.3542,,,0.1,18187.55
17,0.004693,137.0842,,,0.0,29210.37
18,0.004693,133.0484,,,0.0,28350.4
19,0.004693,109.4559,,,0.0,23323.23
20,0.004693,92.2863,,,0.1,19664.68
21,0.004693,95.2737,,,0.0,20301.24
22,0.004693,89.9551,,,0.1,19167.93
23,0.004693,91.638,,,0.1,19526.54
24,0.004693,91.588,,,0.1,19515.87
25,0.004693,108.4178,,,0.0,23102.03
26,0.004693,123.4526,,,0.0,26305.69
27,0.004693,79.37,,,0.1,16912.43
28,0.004693,76.7441,,,0.1,16352.88
29,0.004693,83.1659,,,0.1,17721.27
30,0.004693,70.2027,,,0.1,14959.02
