run,duration_s,runtime_s,cycles_core0,cycles_core1,sim_speed_mips,realtime_ratio
1,0.004897,125.8689,,,0.0,25703.28
2,0.004897,101.3579,,,0.0,20697.95
3,0.004897,139.9011,,,0.0,28568.74
4,0.004897,85.1349,,,0.1,17385.11
5,0.004897,101.8949,,,0.0,20807.62
6,0.004897,78.5761,,,0.1,16045.76
7,0.004897,77.8618,,,0.1,15899.91
8,0.004897,99.996,,,0.0,20419.86
9,0.004897,132.7148,,,0.0,27101.24
10,0.004897,127.825,,,0.0,26102.72
11,0.004897,87.169,,,0.1,17800.49
12,0.004897,142.6552,,,0.0,29131.14
13,0.004897,112.6554,,,0.0,23004.99
14,0.004897,127.808,,,0.0,26099.24
15,0.004897,103.1485,,,0.0,21063.62
16,0.004897,102.0594,,,0.0,20841.21
17,0.004897,70.698,,,0.1,14437.01
18,0.004897,123.7633,,,0.0,25273.29
19,0.004897,128.9551,,,0.0,26333.5
20,0.004897,71.1087,,,0.1,14520.86
21,0.004897,96.0527,,,0.1,19614.61
22,0.004897,66.3142,,,0.1,13541.8
23,0.004897,93.4226,,,0.1,19077.51
24,0.004897,133.2589,,,0.0,27212.36
25,0.004897,113.7666,,,0.0,23231.89
26,0.004897,99.4491,,,0.0,20308.18
27,0.004897,70.4163,,,0.1,14379.47
28,0.004897,101.8952,,,0.0,20807.67
29,0.004897,131.0565,,,0.0,26762.62
30,0.004897,79.7857,,,0.1,16292.77
